surl,,sname
nujiang,怒江
xuanhua,宣化
jiyuan,济源
guyuan,固原
jingmen,荆门
lingbao,灵宝
ninglang,宁蒗
moerdaoga,莫尔道嘎
maerkang,马尔康
haibeizhou,海北州
suihua,绥化
maoxian,茂县
wusuzhen,乌苏镇
neimengguxingan,兴安
penghu,澎湖
dunhua,敦化
hechi,河池
pingdong,屏东
yuxian,蔚县
fuyang,富阳
zhangqiu,章丘
shaxian,沙县
neijiang,内江
hainanzhou,海南州
mangkang,芒康
leizhou,雷州
mangshi,芒市
tacheng,塔城
linxia,临夏
liuyang,浏阳
chuanzangxian,川藏线
mawei,马尾
antu,安图
batang,巴塘
duyun,都匀
changshoucun,长寿村
jiexiu,介休
bayinbuluke,巴音布鲁克
enhe,恩和
dahongshan,大洪山
rongjiang,榕江
fengxian,奉贤
laibin,来宾
jinchang,金昌
chongqingzhongshan,中山
qingyang,庆阳
gaoyou,高邮
tongling,铜陵
ezhou,鄂州
dehang,德夯
changhai,长海
chongzuopingxiang,凭祥
fuding,福鼎
tumen,图们
ningguo,宁国
tenggelishamo,腾格里沙漠
xinyi,新沂
jiangxifuzhou,抚州
bayinguoleng,巴音郭楞
shangqing,上清
guilinxingan,兴安
jingxian,泾县
shitai,石台
shuangliu,双流
lianzhou,连州
tengzhou,滕州
leqing,乐清
lixian,理县
erlianhaote,二连浩特市
xinzhu,新竹
songhuajiang,松花江
beibei,北碚
qinghaiguide,贵德
ninger,宁洱
liaoyuan,辽源
hanyin,汉阴
wudalianchishi,五大连池市
guigang,贵港
fuqing,福清
jingning,景宁
shitang,石塘
lucun,卢村
nanxiong,南雄
dawu,大悟
huzhu,互助
linjiang,临江
huixian,辉县
dabancheng,达坂城
liujiang,柳江
changxing,长兴
heilongjiangjixi,鸡西
enping,恩平
jiangzi,江孜
qitaihe,七台河
longkou,龙口
hegang,鹤岗
basu,八宿
guanxiangucheng,灌县古城
shijiazhuangqingliangshan,清凉山
jiagedaqi,加格达奇
leiyang,耒阳
bingan,丙安
gangcha,刚察
luxiang,陆巷
sanjiaoshan,三角山
cicheng,慈城
rongshui,融水
kuitun,奎屯
ciping,茨坪
linzhou,林州
baodingyixian,易县
fuli,福利
liukeng,流坑
dongfang,东方
manigange,马尼干戈
anyi,安义
dongfangfodu,东方佛都
danzhou,儋州
fengjie,奉节
dayushandao,大嵛山岛
elunchun,鄂伦春
huayin,华阴
jiaonan,胶南
yinpingshan,银屏山
liannan,连南
lidao,离岛区
yuanmou,元谋
kuche,库车
yuzhufeng,玉珠峰
anxi,安溪
heishui,黑水
yunhe,云和
acheng,阿城
qixian,祁县
xiantao,仙桃
huangyangshan,黄杨山
chikanguzhen,赤坎古镇
weishan,巍山
jiangshan,江山
zhalantun,扎兰屯
dingri,定日
miluo,汨罗
juxian,莒县
mushitagefeng,慕士塔格峰
shouguang,寿光
yanzhou,兖州
yongtai,永泰
zhanghua,彰化
xinzheng,新郑
jinchuan,金川
zuoshui,柞水
